folder,file,rho,m_init,v_init,sigma,zenith_angle,rho_grain,lum_eff_type,lum_eff,erosion_bins_per_10mass,erosion_height_start,erosion_coeff,erosion_height_change,erosion_coeff_change,erosion_rho_change,erosion_sigma_change,erosion_mass_index,erosion_mass_min,erosion_mass_max,compressive_strength,disruption_erosion_coeff,disruption_mass_index,disruption_mass_min_ratio,disruption_mass_max_ratio,disruption_mass_grain_ratio
mean,,875.0,1.0250625e-05,25126.75,1.8437500000000002e-08,0.9438631511707085,3000.0,5,0.7,10,98499.875,2.44375e-07,62564.375,3.41875e-07,875.0,1.8437500000000002e-08,2.098125,7.4375e-11,1.8249999999999998e-08,2000.0,2.44375e-07,2.0,0.01,0.1,0.25
mode,,1125.0,3.6671875e-06,25355.300000000003,2.15e-08,0.8696696410007425,3000.0,5.0,0.7,10.0,97527.0,1.35e-07,83888.2,3.65e-07,1125.0,2.15e-08,2.05,3.041666666666667e-11,5.9e-09,2000.0,1.35e-07,2.0,0.010000000000000009,0.09999999999999998,0.25
20190726-024149.928584,20190726_024149_sim_fit.json,900.0,1.3e-05,25203.0,2e-08,1.0551911591707317,3000.0,5,0.7,10,97495.0,4.5000000000000003e-07,86430.0,3.3e-07,900.0,2e-08,2.02,2e-11,5e-08,2000.0,4.5000000000000003e-07,2.0,0.01,0.1,0.25
20190726-030846.593885,20190726_030846_sim_fit.json,600.0,8.36e-06,25893.0,1.6e-08,1.004035558794778,3000.0,5,0.7,10,100635.0,3.5e-07,87507.0,3.3e-07,600.0,1.6e-08,2.25,6e-11,1e-08,2000.0,3.5e-07,2.0,0.01,0.1,0.25
20190801-024424.173211_peak,20190801_024424_sim_fit.json,700.0,4.4e-06,24600.0,1.8e-08,0.996949522031681,3000.0,5,0.7,10,98800.0,1.5e-07,8705.0,3.3e-07,700.0,1.8e-08,2.0,5e-11,5e-08,2000.0,1.5e-07,2.0,0.01,0.1,0.25
20190801-035326.179069,20190801_035326_sim_fit.json,550.0,5e-06,25013.0,2.3e-08,0.8862258342851608,3000.0,5,0.7,10,100161.0,1.3e-07,88071.0,3.3e-07,550.0,2.3e-08,2.2,5e-10,2e-09,2000.0,1.3e-07,2.0,0.01,0.1,0.25
20190801-051431.201685,20190801_051431_sim_fit.json,1000.0,6.5e-06,24812.0,1.6e-08,0.846153074659371,3000.0,5,0.7,10,97100.0,3.6e-07,84298.0,3.3e-07,1000.0,1.6e-08,2.3,1e-10,3e-09,2000.0,3.6e-07,2.0,0.01,0.1,0.25
20190803-031026.107085_badlag,20190803_031026_sim_fit.json,700.0,2e-06,23732.0,2e-08,0.9501921513707529,3000.0,5,0.7,10,96195.0,3e-07,8705.0,3.3e-07,700.0,2e-08,2.0,1e-11,5e-09,2000.0,3e-07,2.0,0.01,0.1,0.25
20200725-052221.527036_peak,20200725_052221_sim_fit.json,250.0,3.9e-06,25450.0,2e-08,0.8698895524864938,3000.0,5,0.7,10,97400.0,1.5e-07,9705.0,0.0,250.0,2e-08,2.5,5e-11,9e-09,2000.0,1.5e-07,2.0,0.01,0.1,0.25
20200726-032722.722492,20200726_032722_sim_fit.json,1500.0,1.95e-06,25300.0,2.3e-08,0.9675232708430567,3000.0,5,0.7,10,99263.0,2.3000000000000002e-07,87946.0,3.3e-07,1500.0,2.3e-08,2.0,7e-11,2e-09,2000.0,2.3000000000000002e-07,2.0,0.01,0.1,0.25
20200726-060419.034845_2frag,20200726_060419_sim_fit.json,900.0,1.85e-06,25877.0,2e-08,0.8598015494099666,3000.0,5,0.7,10,98816.0,1.3e-07,92324.0,7.3e-07,900.0,2e-08,2.0,3e-11,1e-09,2000.0,1.3e-07,2.0,0.01,0.1,0.25
20200726-083536.088970,20200726_083536_sim_fit.json,1500.0,7e-06,24924.0,2e-08,1.1128917442416644,3000.0,5,0.7,10,96500.0,4.0000000000000003e-07,86662.0,3.3e-07,1500.0,2e-08,2.0,1e-11,3e-08,2000.0,4.0000000000000003e-07,2.0,0.01,0.1,0.25
20200727-054241.312252,20200727_054241_sim_fit.json,1000.0,3.55e-06,25100.0,2.3e-08,0.8540768694634252,3000.0,5,0.7,10,98867.0,2.3000000000000002e-07,84912.0,3.3e-07,1000.0,2.3e-08,1.85,7e-11,1.5e-08,2000.0,2.3000000000000002e-07,2.0,0.01,0.1,0.25
20210802-040738.533046,20210802_040738_sim_fit.json,400.0,7.8e-06,24138.0,1.2e-08,0.8708145769900507,3000.0,5,0.7,10,100536.0,1.0000000000000001e-07,7966.0,3.3e-07,400.0,1.2e-08,2.5,7e-11,5e-09,2000.0,1.0000000000000001e-07,2.0,0.01,0.1,0.25
