folder,file,rho,m_init,v_init,sigma,zenith_angle,rho_grain,lum_eff_type,lum_eff,erosion_bins_per_10mass,erosion_height_start,erosion_coeff,erosion_height_change,erosion_coeff_change,erosion_rho_change,erosion_sigma_change,erosion_mass_index,erosion_mass_min,erosion_mass_max,compressive_strength,disruption_erosion_coeff,disruption_mass_index,disruption_mass_min_ratio,disruption_mass_max_ratio,disruption_mass_grain_ratio
mean,,211.0,1.2893266666666667e-05,23481.533333333333,1.36e-08,0.7173233412526615,3500.0,5,0.7,10,103874.6,1.4893333333333334e-07,94271.73333333334,2.8066666666666667e-07,213.0,1.7933333333333332e-08,2.3666666666666667,1.8e-11,1.0333333333333333e-09,2000.0,1.4893333333333334e-07,2.0,0.01,0.1,0.25
mode,,215.0,2.2064999999999995e-06,23640.416666666664,6.1e-09,0.6528142267696991,3500.0,5.0,0.7,10.0,101469.0,2.1419999999999997e-07,100702.1,3.54e-07,215.0,1.8000000000000002e-08,2.4699999999999998,1.0735294117647059e-11,6.4375e-10,2000.0,2.1419999999999997e-07,2.0,0.010000000000000009,0.09999999999999998,0.25
20241008_003707_emccd_skyfit2,20241008_003707_sim_fit.json,180.0,5.3e-06,21650.0,1.7e-08,0.35388295913437023,3500.0,5,0.7,10,106500.0,1.2e-07,102500.0,3.8e-07,180.0,1.2e-08,2.5,1e-11,9e-10,2000.0,1.2e-07,2.0,0.01,0.1,0.25
20241008_012129_emccd_skyfit2,20241008_012129_sim_fit.json,220.0,2.8e-07,23530.0,2.4e-08,0.5736548185454963,3500.0,5,0.7,10,103668.0,2.0000000000000002e-07,89220.0,3.3e-07,220.0,2.4e-08,2.2,5e-11,5e-10,2000.0,2.0000000000000002e-07,2.0,0.01,0.1,0.25
20241008_012605_emccd_skyfit2,20241008_012605_sim_fit.json,220.0,2.9e-07,23800.0,2.5000000000000002e-08,0.5886821034051674,3500.0,5,0.7,10,101800.0,2.4e-07,90892.0,3.3e-07,220.0,2.5000000000000002e-08,2.5,1e-11,7e-10,2000.0,2.4e-07,2.0,0.01,0.1,0.25
20241008_013256_emccd_skyfit2,20241008_013256_sim_fit.json,200.0,4e-06,23600.0,1e-08,0.6003409028084895,3500.0,5,0.7,10,111000.0,3e-07,84521.0,3.3e-07,200.0,1e-08,2.5,5e-12,3e-09,2000.0,3e-07,2.0,0.01,0.1,0.25
20241008_015139_emccd_skyfit2,20241008_015139_sim_fit.json,180.0,4.39e-07,23200.0,1.8e-08,0.6536258048718765,3500.0,5,0.7,10,100410.0,2.3000000000000002e-07,91770.0,3.3e-07,180.0,1.8e-08,2.5,5e-12,7e-10,2000.0,2.3000000000000002e-07,2.0,0.01,0.1,0.25
20241008_015303_emccd_skyfit2,20241008_015303_sim_fit.json,220.0,2.1e-07,23700.0,1.6e-08,0.6508507313612054,3500.0,5,0.7,10,101300.0,2.0000000000000002e-07,89311.0,2.3000000000000002e-07,220.0,1.6e-08,2.5,1e-11,4e-10,2000.0,2.0000000000000002e-07,2.0,0.01,0.1,0.25
20241008_021829_emccd_skyfit2,20241008_021829_sim_fit.json,190.0,3.2e-06,23486.0,8e-09,0.7018841586895197,3500.0,5,0.7,10,102900.0,1.1e-07,99310.0,3.3e-07,220.0,2.8e-08,2.3,1e-11,2e-10,2000.0,1.1e-07,2.0,0.01,0.1,0.25
20241008_022048_emccd_skyfit2,20241008_022048_sim_fit.json,200.0,5.36e-06,23600.0,1.1e-08,0.7046243256151508,3500.0,5,0.7,10,106200.0,8e-08,101000.0,3.2e-07,200.0,2.2e-08,2.5,2e-11,3e-09,2000.0,8e-08,2.0,0.01,0.1,0.25
20241008_024446_emccd_skyfit2,20241008_024446_sim_fit.json,200.0,5.6e-07,23600.0,1.8e-08,0.7669151266188284,3500.0,5,0.7,10,102000.0,2.0000000000000002e-07,89772.0,3.3e-07,200.0,1.8e-08,2.2,1e-11,9e-10,2000.0,2.0000000000000002e-07,2.0,0.01,0.1,0.25
20241008_024505_emccd_skyfit2,20241008_024504_sim_fit.json,200.0,3.29e-06,24460.0,6e-09,0.7611031802096871,3500.0,5,0.7,10,101500.0,8e-08,96800.0,1.2e-07,200.0,1.8e-08,2.2,7e-11,6e-10,2000.0,8e-08,2.0,0.01,0.1,0.25
20241008_030838_emccd_skyfit2,20241008_030838_sim_fit.json,220.0,2.5e-07,22700.0,1.8e-08,0.8203745616074146,3500.0,5,0.7,10,101800.0,1.2e-07,91825.0,3.3e-07,220.0,1.8e-08,2.2,1e-11,5e-10,2000.0,1.2e-07,2.0,0.01,0.1,0.25
20241008_031944_emccd_skyfit2,20241008_031944_sim_fit.json,215.0,5.12e-06,23407.0,1.5e-08,0.8274605983705116,3500.0,5,0.7,10,104741.0,2.2e-07,87155.0,3.3e-07,215.0,1.5e-08,2.3,1e-11,7e-10,2000.0,2.2e-07,2.0,0.01,0.1,0.25
20241008_035152_emccd_skyfit2,20241008_035151_sim_fit.json,220.0,1.86e-05,23700.0,4e-09,0.8955982523683703,3500.0,5,0.7,10,104300.0,6e-08,101000.0,1.2e-07,220.0,2.3e-08,2.5,3e-11,1e-10,2000.0,6e-08,2.0,0.01,0.1,0.25
20241008_035830_emccd_skyfit2,20241008_035829_sim_fit.json,250.0,2.65e-05,23800.0,8e-09,0.9091071007788064,3500.0,5,0.7,10,104800.0,6e-08,99000.0,2.0000000000000002e-07,250.0,1.4e-08,2.3,1e-11,3e-09,2000.0,6e-08,2.0,0.01,0.1,0.25
20241008_042436_emccd_skyfit2,20241008_042435_sim_fit.json,250.0,0.00012,23990.0,6e-09,0.9517454944050279,3500.0,5,0.7,10,105200.0,1.4e-08,100000.0,2.0000000000000002e-07,250.0,8e-09,2.3,1e-11,3e-10,2000.0,1.4e-08,2.0,0.01,0.1,0.25
