folder,file,rho,m_init,v_init,sigma,zenith_angle,rho_grain,lum_eff_type,lum_eff,erosion_bins_per_10mass,erosion_height_start,erosion_coeff,erosion_height_change,erosion_coeff_change,erosion_rho_change,erosion_sigma_change,erosion_mass_index,erosion_mass_min,erosion_mass_max,compressive_strength,disruption_erosion_coeff,disruption_mass_index,disruption_mass_min_ratio,disruption_mass_max_ratio,disruption_mass_grain_ratio
mean,,195.23809523809524,3.778095238095238e-06,67725.80952380953,2.0333333333333333e-08,0.5806028911867689,3000.0,5,0.7,10,116192.90476190476,2.280952380952381e-07,72028.57142857143,3.0680952380952384e-07,195.23809523809524,2.080952380952381e-08,2.130952380952381,1.3904761904761905e-11,1.538095238095238e-08,2000.0,2.280952380952381e-07,2.0,0.01,0.1,0.25
mode,,134.6153846153846,1.6875e-06,67384.0,2.1666666666666665e-08,0.49081567448167207,3000.0,5.0,0.7,10.0,115740.5,1.7250000000000002e-07,91696.66666666666,3.0075000000000004e-07,134.6153846153846,2.2500000000000003e-08,2.142857142857143,1.325e-11,5.083333333333333e-09,2000.0,1.7250000000000002e-07,2.0,0.010000000000000009,0.09999999999999998,0.25
20191023-084916.005223,20191023_084916_sim_fit.json,100.0,3e-06,67197.0,1.7e-08,0.5172283238285196,3000.0,5,0.7,10,116300.0,1.0000000000000001e-07,96087.0,3.3e-07,100.0,1.7e-08,2.25,3e-12,3e-08,2000.0,1.0000000000000001e-07,2.0,0.01,0.1,0.25
20191023-091225.248663,20191023_091225_sim_fit.json,100.0,2.1e-06,68994.0,1.2999999999999999e-08,0.49795988888650217,3000.0,5,0.7,10,115070.0,2.0000000000000002e-07,98328.0,3.3e-07,100.0,1.2999999999999999e-08,2.5,1e-11,2e-09,2000.0,2.0000000000000002e-07,2.0,0.01,0.1,0.25
20191023-091310.215187,20191023_091310_sim_fit.json,300.0,2.49e-06,67300.0,2.3e-08,0.4979424355939822,3000.0,5,0.7,10,114788.0,3.3e-07,97093.0,3.3e-07,300.0,2.3e-08,2.0,1e-11,5e-09,2000.0,3.3e-07,2.0,0.01,0.1,0.25
20191026-065837.833705,20191026_065837_sim_fit.json,350.0,3e-06,66775.0,2.2e-08,0.7496887269016443,3000.0,5,0.7,10,118783.0,2.0000000000000002e-07,98353.0,3.3e-07,350.0,2.2e-08,2.2,8e-12,5e-09,2000.0,2.0000000000000002e-07,2.0,0.01,0.1,0.25
20201012-081716.028874,20201012_081716_sim_fit.json,200.0,3.7e-06,68597.0,1.5e-08,0.599887117202971,3000.0,5,0.7,10,111998.0,3e-07,95807.0,3.3e-07,200.0,1.5e-08,2.4,1e-11,7e-09,2000.0,3e-07,2.0,0.01,0.1,0.25
20201017-074007.531205,20201017_074007_sim_fit.json,200.0,4.06e-06,68330.0,1.5e-08,0.6547777221781926,3000.0,5,0.7,10,114340.0,2.0000000000000002e-07,99281.0,3.3e-07,200.0,1.5e-08,2.2,1e-11,2e-09,2000.0,2.0000000000000002e-07,2.0,0.01,0.1,0.25
20201017-083927.737482,20201017_083927_sim_fit.json,100.0,4.02e-06,68431.0,2.5000000000000002e-08,0.5495169149904147,3000.0,5,0.7,10,115543.0,1.0000000000000001e-07,99612.0,3.3e-07,100.0,2.5000000000000002e-08,2.05,1e-11,5e-09,2000.0,1.0000000000000001e-07,2.0,0.01,0.1,0.25
20221022-070405.872924,20221022_070405_sim_fit.json,100.0,5.2e-06,67655.0,2.3e-08,0.7558846457462242,3000.0,5,0.7,10,115074.0,2.2e-07,97363.0,3.3e-07,100.0,2.3e-08,2.1,1e-11,9e-09,2000.0,2.2e-07,2.0,0.01,0.1,0.25
20221022-075828.925593,20221022_075828_sim_fit.json,200.0,5.5e-06,67600.0,1.5e-08,0.6295577144868746,3000.0,5,0.7,10,116849.0,3e-07,92725.0,3.3e-07,200.0,1.5e-08,2.2,1e-11,5e-08,2000.0,3e-07,2.0,0.01,0.1,0.25
20221022-081606.830939_badLag,20221022_081606_sim_fit.json,100.0,1.5e-05,68745.0,3e-08,0.5863957220850549,3000.0,5,0.7,10,115000.0,4.0000000000000003e-07,96461.0,3.3e-07,100.0,3e-08,2.05,1e-11,3e-08,2000.0,4.0000000000000003e-07,2.0,0.01,0.1,0.25
20221024-073631.060120,20221024_073631_sim_fit.json,100.0,1.7e-06,67390.0,1.6e-08,0.6595773776211771,3000.0,5,0.7,10,113796.0,8e-08,98053.0,3.3e-07,100.0,1.6e-08,2.15,1e-11,1e-09,2000.0,8e-08,2.0,0.01,0.1,0.25
20221024-084616.218791,20221024_084616_sim_fit.json,1000.0,1.51e-06,67707.0,1e-08,0.5212600344006264,3000.0,5,0.7,10,113302.0,1.6e-07,9615.0,3.3e-07,1000.0,1e-08,1.5,5e-11,4e-09,2000.0,1.6e-07,2.0,0.01,0.1,0.25
20221024-085633.538477,20221024_085633_sim_fit.json,100.0,4.61e-06,67217.0,2.2e-08,0.5127253743583742,3000.0,5,0.7,10,115761.0,1.8e-07,93790.0,3.3e-07,100.0,2.2e-08,2.0,1e-11,2e-08,2000.0,1.8e-07,2.0,0.01,0.1,0.25
20221024-102138.826456,20221024_102138_sim_fit.json,100.0,1.5e-06,67979.0,1.2999999999999999e-08,0.480785849046878,3000.0,5,0.7,10,116219.0,2.5e-07,10762.0,1.0000000000000001e-07,100.0,1.2999999999999999e-08,2.5,1e-11,5e-09,2000.0,2.5e-07,2.0,0.01,0.1,0.25
20221025-072748.014918,20221025_072748_sim_fit.json,300.0,6.14e-06,68090.0,1.8999999999999998e-08,0.6838025476388584,3000.0,5,0.7,10,118386.0,3.3e-07,4628.0,3.3e-07,300.0,1.8999999999999998e-08,2.2,3e-11,2e-08,2000.0,3.3e-07,2.0,0.01,0.1,0.25
20221025-072924.605302,20221025_072924_sim_fit.json,200.0,2.51e-06,66990.0,3e-08,0.6807307681553484,3000.0,5,0.7,10,122477.0,2.3000000000000002e-07,11433.0,4.0000000000000003e-07,200.0,4e-08,2.1,5e-11,5e-08,2000.0,2.3000000000000002e-07,2.0,0.01,0.1,0.25
20221025-081310.127733,20221025_081310_sim_fit.json,100.0,3.3e-06,67980.0,2.3e-08,0.5682093912792738,3000.0,5,0.7,10,116576.0,1.3e-07,97299.0,3.3e-07,100.0,2.3e-08,2.3,2e-11,2e-08,2000.0,1.3e-07,2.0,0.01,0.1,0.25
20221025-095334.362609,20221025_095334_sim_fit.json,150.0,2.5e-06,66576.0,3e-08,0.4831245902445504,3000.0,5,0.7,10,117194.0,4.5000000000000003e-07,96381.0,3.3e-07,150.0,3e-08,2.15,9e-12,5e-08,2000.0,4.5000000000000003e-07,2.0,0.01,0.1,0.25
20221027-075003.825215,20221027_075003_sim_fit.json,100.0,8e-07,66234.0,2e-08,0.6121044219669313,3000.0,5,0.7,10,115154.0,1.0000000000000001e-07,10958.0,3.3e-07,100.0,2e-08,2.0,1e-12,1e-09,2000.0,1.0000000000000001e-07,2.0,0.01,0.1,0.25
20231019-093613.542707,20231019_093613_sim_fit.json,100.0,1.8e-06,67668.0,2.3e-08,0.48478265303394497,3000.0,5,0.7,10,120220.0,3.3e-07,11886.0,3e-09,100.0,2.3e-08,1.9,1e-11,3e-09,2000.0,3.3e-07,2.0,0.01,0.1,0.25
20231019-095615.593197,20231019_095615_sim_fit.json,100.0,4.9e-06,68787.0,2.3e-08,0.46671849527580367,3000.0,5,0.7,10,117221.0,2.0000000000000002e-07,96685.0,3.3e-07,100.0,2.3e-08,2.0,1e-12,4e-09,2000.0,2.0000000000000002e-07,2.0,0.01,0.1,0.25
