#
#   version : EMCCD_Detection_Driver_Ver_2.15
#  revision : 1
#    num_fr : 15
#    num_tr : 0
#      time : 20220807 07:38:27.270 UTC
#      unix : 1659857907.270307
#       ntp : LOCK 0 0 0
#       seq : 395080
#       mul : 0 [A]
#      site : 02
#    latlon : 43.1928 -81.3157 324.0
#      text : Elginfield
#    stream : G
#     plate : 
#      geom : 512 512
#    filter : 0
#      meta : mle_db 22.80
#
#  fr       time    sum     seq          cx          cy         th         phi     lsp    mag  flag   bak    max
   32  -0.280070   1732  395071  237.753633  175.970109  42.806074   86.811823  -8.097   7.79  0000   0.0    0.0
   33  -0.248952   2353  395072  246.810797  183.381779  42.986908   87.229785  -8.429   7.46  0000   0.0    0.0
   34  -0.217832   3006  395073  256.029590  190.925713  43.172560   87.652314  -8.695   7.19  0000   0.0    0.0
   35  -0.186713   4181  395074  265.409102  198.601167  43.363068   88.079216  -9.053   6.84  0000   0.0    0.0
   36  -0.155595   5770  395075  274.949245  206.408068  43.558487   88.510335  -9.403   6.49  0000   0.0    0.0
   37  -0.124476   6199  395076  284.650751  214.347016  43.758885   88.945550  -9.481   6.41  0000   0.0    0.0
   38  -0.093358  16251  395077  294.512875  222.417402  43.964300   89.384672 -10.527   5.36  0000   0.0    0.0
   39  -0.062238  25201  395078  304.536684  230.620097  44.174806   89.827593 -11.004   4.89  0000   0.0    0.0
   40  -0.031119  33985  395079  314.721108  238.954228  44.390428   90.274109 -11.328   4.56  0000   0.0    0.0
   41   0.000000  63711  395080  325.066610  247.420172  44.611225   90.724081 -12.011   3.88  0000   0.0    0.0
   42   0.031119  33113  395081  335.573031  256.017799  44.837237   91.177346 -11.300   4.59  0000   0.0    0.0
   43   0.062237  16448  395082  346.240201  264.746971  45.068505   91.633737 -10.540   5.35  0000   0.0    0.0
   44   0.093356  10215  395083  357.068613  273.608090  45.305079   92.093118 -10.023   5.87  0000   0.0    0.0
   45   0.124475   5776  395084  368.058106  282.601026  45.546994   92.555322  -9.404   6.49  0000   0.0    0.0
   46   0.155593   2709  395085  379.208169  291.725359  45.794276   93.020170  -8.582   7.31  0000   0.0    0.0
