#
#   version : EMCCD_Detection_Driver_Ver_2.15
#  revision : 1
#    num_fr : 14
#    num_tr : 0
#      time : 20220807 07:38:27.257 UTC
#      unix : 1659857907.257365
#       ntp : LOCK 0 0 0
#       seq : 400380
#       mul : 0 [A]
#      site : 01
#    latlon : 43.2642 -80.7721 329.0
#      text : tavis
#    stream : G
#     plate : 
#      geom : 512 512
#    filter : 0
#      meta : mle_db 21.44
#
#  fr       time    sum     seq          cx          cy         th         phi     lsp    mag  flag   bak    max
   32  -0.248950   5688  400372  274.569192   52.813236  42.747113  111.485846  -9.388   7.33  0000   0.0    0.0
   33  -0.217832      0  400373  283.740039   66.028920  43.029680  112.022501    +nan    nan  0008   0.0    0.0
   34  -0.186713   6098  400374  293.082529   79.491950  43.320261  112.563537  -9.463   7.26  0000   0.0    0.0
   35  -0.155594  11718  400375  302.596312   93.201823  43.618929  113.108654 -10.172   6.55  0000   0.0    0.0
   36  -0.124475   9109  400376  312.281314  107.158432  43.925763  113.657570  -9.899   6.82  0000   0.0    0.0
   37  -0.093357  23797  400377  322.137303  121.361442  44.240831  114.209996 -10.941   5.78  0000   0.0    0.0
   38  -0.062238  43517  400378  332.164960  135.811835  44.564227  114.765696 -11.597   5.12  0000   0.0    0.0
   39  -0.031119  65810  400379  342.363911  150.509072  44.896005  115.324376 -12.046   4.67  0000   0.0    0.0
   40   0.000000 110982  400380  352.734076  165.453038  45.236224  115.885762 -12.613   4.11  0000   0.0    0.0
   41   0.031119 100383  400381  363.275614  180.643960  45.584945  116.449596 -12.504   4.22  0000   0.0    0.0
   42   0.062238  47448  400382  373.988362  196.081607  45.942214  117.015608 -11.691   5.03  0000   0.0    0.0
   43   0.093356  26585  400383  384.872066  211.765610  46.308065  117.583524 -11.062   5.66  0000   0.0    0.0
   44   0.124475  16221  400384  395.927478  227.697052  46.682564  118.153129 -10.525   6.19  0000   0.0    0.0
   45   0.155594   6030  400385  407.154183  243.875338  47.065728  118.724153  -9.451   7.27  0000   0.0    0.0
