#
#   version : EMCCD_Detection_Driver_Ver_2.15
#  revision : 1
#    num_fr : 15
#    num_tr : 0
#      time : 20220729 06:48:55.085 UTC
#      unix : 1659077335.085471
#       ntp : LOCK 0 0 0
#       seq : 447718
#       mul : 0 [A]
#      site : 02
#    latlon : 43.1928 -81.3157 324.0
#      text : Elginfield
#    stream : G
#     plate : 
#      geom : 512 512
#    filter : 0
#      meta : mle_db 25.04
#
#  fr       time    sum     seq          cx          cy         th         phi     lsp    mag  flag   bak    max
   32  -0.248951   1369  447710   55.392455  308.059131  36.654982   90.061391  -7.841   8.05  0000   0.0    0.0
   33  -0.217832   2222  447711   63.659851  320.495186  36.786635   90.744408  -8.367   7.52  0000   0.0    0.0
   34  -0.186714   4608  447712   72.085347  333.169060  36.924702   91.436297  -9.159   6.73  0000   0.0    0.0
   35  -0.155595   6051  447713   80.669587  346.081721  37.069361   92.136765  -9.455   6.44  0000   0.0    0.0
   36  -0.124476   9594  447714   89.412185  359.232588  37.220770   92.845422  -9.955   5.93  0000   0.0    0.0
   37  -0.093357  16173  447715   98.313273  372.621862  37.379094   93.561912 -10.522   5.37  0000   0.0    0.0
   38  -0.062237  27116  447716  107.372997  386.249759  37.544492   94.285871 -11.083   4.81  0000   0.0    0.0
   39  -0.031120  56013  447717  116.590369  400.114796  37.717100   95.016836 -11.871   4.02  0000   0.0    0.0
   40   0.000000  90750  447718  125.966944  414.219309  37.897094   95.754538 -12.395   3.50  0000   0.0    0.0
   41   0.031118  83500  447719  135.501435  428.561365  38.084592   96.498477 -12.304   3.59  0000   0.0    0.0
   42   0.062238  61673  447720  145.194865  443.142502  38.279751   97.248326 -11.975   3.91  0000   0.0    0.0
   43   0.093356  31021  447721  155.046195  457.961156  38.482680   98.003596 -11.229   4.66  0000   0.0    0.0
   44   0.124475  14761  447722  165.056172  473.018452  38.693517   98.763928 -10.423   5.47  0000   0.0    0.0
   45   0.155594   7843  447723  175.224650  488.314169  38.912377   99.528892  -9.736   6.15  0000   0.0    0.0
   46   0.186712   6776  447724  185.551154  503.847594  39.139357  100.298031  -9.578   6.31  0000   0.0    0.0
