#
#   version : EMCCD_Detection_Driver_Ver_2.15
#  revision : 1
#    num_fr : 15
#    num_tr : 0
#      time : 20220729 06:48:55.106 UTC
#      unix : 1659077335.106205
#       ntp : LOCK 0 0 0
#       seq : 432145
#       mul : 0 [A]
#      site : 01
#    latlon : 43.2642 -80.7721 329.0
#      text : tavis
#    stream : G
#     plate : 
#      geom : 512 512
#    filter : 0
#      meta : mle_db 23.81
#
#  fr       time    sum     seq          cx          cy         th         phi     lsp    mag  flag   bak    max
   32  -0.248949   6524  432137   93.871218  227.806813  38.075559  120.025642  -9.536   7.18  0000   0.0    0.0
   33  -0.217832  12169  432138  102.800570  246.314808  38.414759  120.807230 -10.213   6.51  0000   0.0    0.0
   34  -0.186712  14248  432139  111.836304  265.043306  38.763167  121.586708 -10.384   6.34  0000   0.0    0.0
   35  -0.155593  19531  432140  120.977256  283.989888  39.120748  122.363649 -10.727   5.99  0000   0.0    0.0
   36  -0.124474  28974  432141  130.223629  303.154979  39.487506  123.137756 -11.155   5.56  0000   0.0    0.0
   37  -0.093357  53799  432142  139.574917  322.537528  39.863411  123.908689 -11.827   4.89  0000   0.0    0.0
   38  -0.062237 102111  432143  149.032630  342.140666  40.248502  124.676285 -12.523   4.20  0000   0.0    0.0
   39  -0.031118 175299  432144  158.595548  361.961863  40.642702  125.440170 -13.109   3.61  0000   0.0    0.0
   40   0.000000 179833  432145  168.263585  382.000944  41.045970  126.200079 -13.137   3.58  0000   0.0    0.0
   41   0.031119 137603  432146  178.037484  402.259444  41.458287  126.955825 -12.847   3.87  0000   0.0    0.0
   42   0.062238  85773  432147  187.916799  422.736443  41.879579  127.707141 -12.333   4.39  0000   0.0    0.0
   43   0.093356  41639  432148  197.901374  443.431616  42.309773  128.453797 -11.549   5.17  0000   0.0    0.0
   44   0.124475  18624  432149  207.991669  464.345915  42.748813  129.195622 -10.675   6.04  0000   0.0    0.0
   45   0.155594  11205  432150  218.187533  485.479030  43.196607  129.932413 -10.124   6.60  0000   0.0    0.0
   46   0.186713   6503  432151  228.488810  506.830636  43.653053  130.663977  -9.533   7.19  0000   0.0    0.0
