#
#   version : EMCCD_Detection_Driver_Ver_2.15
#  revision : 1
#    num_fr : 18
#    num_tr : 0
#      time : 20220820 05:52:02.613 UTC
#      unix : 1660974722.613523
#       ntp : LOCK 0 0 0
#       seq : 488710
#       mul : 0 [A]
#      site : 01
#    latlon : 43.2642 -80.7721 329.0
#      text : Tavistock
#    stream : F
#     plate : 
#      geom : 512 512
#    filter : 0
#      meta : mle_db 26.58
#
#  fr       time    sum     seq          cx          cy         th         phi     lsp    mag  flag   bak    max
   32  -0.404546   3567  488697  373.890082  444.115153  22.257662  112.715615  -8.881   6.49  0000   0.0    0.0
   33  -0.373426   3730  488698  370.541115  422.878750  22.219533  114.341759  -8.930   6.44  0000   0.0    0.0
   34  -0.342307   6805  488699  367.114379  401.149205  22.197228  116.011950  -9.582   5.79  0000   0.0    0.0
   35  -0.311188   6180  488700  363.609722  378.925540  22.192001  117.724006  -9.477   5.89  0000   0.0    0.0
   36  -0.280070   7930  488701  360.027307  356.208801  22.205094  119.475200  -9.748   5.62  0000   0.0    0.0
   37  -0.248951  11178  488702  356.366860  332.997246  22.237729  121.262635 -10.121   5.25  0000   0.0    0.0
   38  -0.217832  15911  488703  352.628545  309.291920  22.291089  123.082827 -10.504   4.87  0000   0.0    0.0
   39  -0.186713  26422  488704  348.812306  285.092460  22.366312  124.932048 -11.055   4.32  0000   0.0    0.0
   40  -0.155593  48503  488705  344.918050  260.398281  22.464475  126.806269 -11.714   3.66  0000   0.0    0.0
   41  -0.124476  78147  488706  340.946292  235.212650  22.586569  128.700894 -12.232   3.14  0000   0.0    0.0
   42  -0.093356 102324  488707  336.896242  209.530551  22.733538  130.611725 -12.525   2.85  0000   0.0    0.0
   43  -0.062237 113397  488708  332.768450  183.355479  22.906192  132.533760 -12.637   2.73  0000   0.0    0.0
   44  -0.031119 142033  488709  328.562893  156.687285  23.105252  134.462168 -12.881   2.49  0000   0.0    0.0
   45   0.000000 206526  488710  324.279280  129.524124  23.331348  136.392205 -13.287   2.08  0000   0.0    0.0
   46   0.031119 162734  488711  319.917771  101.867009  23.584970  138.318953 -13.029   2.34  0000   0.0    0.0
   47   0.062238 101290  488712  315.478399   73.716156  23.866494  140.237656 -12.514   2.86  0000   0.0    0.0
   48   0.093357  57639  488713  310.961098   45.071136  24.176178  142.143769 -11.902   3.47  0000   0.0    0.0
   49   0.124476  36561  488714  306.365936   15.932386  24.514151  144.032908 -11.408   3.96  0000   0.0    0.0
