#
#   version : EMCCD_Detection_Driver_Ver_2.15
#  revision : 1
#    num_fr : 18
#    num_tr : 0
#      time : 20220820 05:52:03.318 UTC
#      unix : 1660974723.318630
#       ntp : LOCK 0 0 0
#       seq : 485076
#       mul : 0 [A]
#      site : 02
#    latlon : 43.1928 -81.3157 324.0
#      text : elginfield
#    stream : F
#     plate : 
#      geom : 512 512
#    filter : 0
#      meta : mle_db 27.39
#
#  fr       time    sum     seq          cx          cy         th         phi     lsp    mag  flag   bak    max
   32  -0.311180  11108  485066  257.852377  488.438029  25.358377   65.403279 -10.114   6.08  0000   0.0    0.0
   33  -0.280063  13459  485067  266.506734  476.277495  24.995971   65.940475 -10.323   5.87  0000   0.0    0.0
   34  -0.248944  19436  485068  275.396384  463.786342  24.625523   66.507717 -10.722   5.47  0000   0.0    0.0
   35  -0.217825  27274  485069  284.520876  450.965205  24.247316   67.106859 -11.089   5.10  0000   0.0    0.0
   36  -0.186707  47295  485070  293.879779  437.814688  23.861664   67.739919 -11.687   4.50  0000   0.0    0.0
   37  -0.155590  84176  485071  303.473141  424.334726  23.468891   68.409123 -12.313   3.88  0000   0.0    0.0
   38  -0.124472 133983  485072  313.301625  410.524384  23.069334   69.116937 -12.818   3.37  0000   0.0    0.0
   39  -0.093353 175083  485073  323.365104  396.383845  22.663399   69.865990 -13.108   3.08  0000   0.0    0.0
   40  -0.062236 192353  485074  333.662715  381.914318  22.251567   70.659079 -13.210   2.98  0000   0.0    0.0
   41  -0.031117 259742  485075  344.195801  367.113916  21.834279   71.499427 -13.536   2.65  0000   0.0    0.0
   42   0.000000 381236  485076  354.962912  351.984678  21.412144   72.390308 -13.953   2.24  0000   0.0    0.0
   43   0.031118 277839  485077  365.965105  336.525119  20.985729   73.335489 -13.609   2.58  0000   0.0    0.0
   44   0.062237 181049  485078  377.202490  320.735084  20.555710   74.338983 -13.144   3.05  0000   0.0    0.0
   45   0.093354 105931  485079  388.673849  304.616282  20.122888   75.405012 -12.563   3.63  0000   0.0    0.0
   46   0.124473  68853  485080  400.380766  288.166491  19.688043   76.538412 -12.095   4.10  0000   0.0    0.0
   47   0.155591  41976  485081  412.321995  271.387460  19.252155   77.744119 -11.558   4.63  0000   0.0    0.0
   48   0.186708  27041  485082  424.497603  254.279094  18.816262   79.027570 -11.080   5.11  0000   0.0    0.0
   49   0.217826  18906  485083  436.908433  236.840210  18.381491   80.394667 -10.691   5.50  0000   0.0    0.0
