# B = brightest mass bin, L = leading fragment, M = main
# Time (s), B ht (km), B len (km), B vel (km/s), L ht (km), L len (km), L vel (km/s), L dyn press (Gamma = 1.0; MPa), M ht (km), M len (km), M vel (km/s), M dyn press (Gamma = 1.0; MPa), Tau total (%), Tau main (%), Tau grain (%), Abs mag total, Abs mag main, Abs mag grain, log10 Lum total (W), log10 Lum main (W), log10 Lum grain (W), log10 Electron line density (-/m), Mass total (kg), Mass main (kg)
5.00000e-03,1.79792e+02,3.02500e-01,6.05000e+01,1.79792e+02,3.02500e-01,6.05000e+01,1.90140e-06,1.79792e+02,3.02500e-01,6.05000e+01,1.90140e-06,1.73410e-03,1.73410e-03,0.00000e+00,1.09169e+01,1.09169e+01,inf,-1.39593e+00,-1.39593e+00,-inf,1.24903e+01,3.79994e-06,3.79994e-06
1.00000e-02,1.79583e+02,6.05000e-01,6.04999e+01,1.79583e+02,6.05000e-01,6.04999e+01,1.90437e-06,1.79583e+02,6.05000e-01,6.04999e+01,1.90437e-06,1.73411e-03,1.73411e-03,0.00000e+00,1.09152e+01,1.09152e+01,inf,-1.39526e+00,-1.39526e+00,-inf,1.24910e+01,3.79988e-06,3.79988e-06
1.50000e-02,1.79375e+02,9.07499e-01,6.04999e+01,1.79375e+02,9.07499e-01,6.04999e+01,1.90796e-06,1.79375e+02,9.07499e-01,6.04999e+01,1.90796e-06,1.73412e-03,1.73412e-03,0.00000e+00,1.09131e+01,1.09131e+01,inf,-1.39444e+00,-1.39444e+00,-inf,1.24918e+01,3.79982e-06,3.79982e-06
2.00000e-02,1.79166e+02,1.21000e+00,6.04999e+01,1.79166e+02,1.21000e+00,6.04999e+01,1.91217e-06,1.79166e+02,1.21000e+00,6.04999e+01,1.91217e-06,1.73412e-03,1.73412e-03,0.00000e+00,1.09108e+01,1.09108e+01,inf,-1.39349e+00,-1.39349e+00,-inf,1.24927e+01,3.79976e-06,3.79976e-06
2.50000e-02,1.78958e+02,1.51250e+00,6.04999e+01,1.78958e+02,1.51250e+00,6.04999e+01,1.91698e-06,1.78958e+02,1.51250e+00,6.04999e+01,1.91698e-06,1.73413e-03,1.73413e-03,0.00000e+00,1.09080e+01,1.09080e+01,inf,-1.39240e+00,-1.39240e+00,-inf,1.24938e+01,3.79970e-06,3.79970e-06
3.00000e-02,1.78749e+02,1.81500e+00,6.04998e+01,1.78749e+02,1.81500e+00,6.04998e+01,1.92238e-06,1.78749e+02,1.81500e+00,6.04998e+01,1.92238e-06,1.73414e-03,1.73414e-03,0.00000e+00,1.09050e+01,1.09050e+01,inf,-1.39118e+00,-1.39118e+00,-inf,1.24950e+01,3.79964e-06,3.79964e-06
3.50000e-02,1.78541e+02,2.11750e+00,6.04998e+01,1.78541e+02,2.11750e+00,6.04998e+01,1.92835e-06,1.78541e+02,2.11750e+00,6.04998e+01,1.92835e-06,1.73415e-03,1.73415e-03,0.00000e+00,1.09016e+01,1.09016e+01,inf,-1.38984e+00,-1.38984e+00,-inf,1.24964e+01,3.79958e-06,3.79958e-06
4.00000e-02,1.78332e+02,2.42000e+00,6.04998e+01,1.78332e+02,2.42000e+00,6.04998e+01,1.93489e-06,1.78332e+02,2.42000e+00,6.04998e+01,1.93489e-06,1.73416e-03,1.73416e-03,0.00000e+00,1.08980e+01,1.08980e+01,inf,-1.38837e+00,-1.38837e+00,-inf,1.24978e+01,3.79952e-06,3.79952e-06
4.50000e-02,1.78124e+02,2.72249e+00,6.04998e+01,1.78124e+02,2.72249e+00,6.04998e+01,1.94197e-06,1.78124e+02,2.72249e+00,6.04998e+01,1.94197e-06,1.73417e-03,1.73417e-03,0.00000e+00,1.08940e+01,1.08940e+01,inf,-1.38679e+00,-1.38679e+00,-inf,1.24994e+01,3.79945e-06,3.79945e-06
5.00000e-02,1.77916e+02,3.02499e+00,6.04997e+01,1.77916e+02,3.02499e+00,6.04997e+01,1.94960e-06,1.77916e+02,3.02499e+00,6.04997e+01,1.94960e-06,1.73418e-03,1.73418e-03,0.00000e+00,1.08898e+01,1.08898e+01,inf,-1.38509e+00,-1.38509e+00,-inf,1.25011e+01,3.79939e-06,3.79939e-06
5.50000e-02,1.77707e+02,3.32749e+00,6.04997e+01,1.77707e+02,3.32749e+00,6.04997e+01,1.95776e-06,1.77707e+02,3.32749e+00,6.04997e+01,1.95776e-06,1.73418e-03,1.73418e-03,0.00000e+00,1.08852e+01,1.08852e+01,inf,-1.38328e+00,-1.38328e+00,-inf,1.25029e+01,3.79933e-06,3.79933e-06
6.00000e-02,1.77499e+02,3.62999e+00,6.04997e+01,1.77499e+02,3.62999e+00,6.04997e+01,1.96644e-06,1.77499e+02,3.62999e+00,6.04997e+01,1.96644e-06,1.73419e-03,1.73419e-03,0.00000e+00,1.08804e+01,1.08804e+01,inf,-1.38136e+00,-1.38136e+00,-inf,1.25048e+01,3.79927e-06,3.79927e-06
6.50000e-02,1.77291e+02,3.93249e+00,6.04997e+01,1.77291e+02,3.93249e+00,6.04997e+01,1.97563e-06,1.77291e+02,3.93249e+00,6.04997e+01,1.97563e-06,1.73420e-03,1.73420e-03,0.00000e+00,1.08754e+01,1.08754e+01,inf,-1.37934e+00,-1.37934e+00,-inf,1.25069e+01,3.79921e-06,3.79921e-06
