alt_km,rho_mars_kg_m3,real_rho_mars_kg_m3,multiplier,
180,6.51E-12,6.51E-12,1.00E+00,http://www-mars.lmd.jussieu.fr/mcd_python/cgi-bin/mcdcgi.py?var1=rho&var2=none&var3=none&var4=none&datekeyhtml=1&ls=160.3&localtime=0.&year=2025&month=10&day=24&hours=18&minutes=41&seconds=6&julian=2460973.278541667&martianyear=38&sol=337&latitude=0&longitude=0&altitude=180000&zkey=3&spacecraft=equator&isfixedlt=off&dust=1&hrkey=1&averaging=loct&dpi=80&islog=off&colorm=jet&minval=&maxval=&proj=cyl&palt=&plon=&plat=&trans=&iswind=off&latpoint=&lonpoint=
175,1.07E-11,1.07E-11,1.00E+00,http://www-mars.lmd.jussieu.fr/mcd_python/cgi-bin/mcdcgi.py?var1=rho&var2=none&var3=none&var4=none&datekeyhtml=1&ls=160.3&localtime=0.&year=2025&month=10&day=24&hours=18&minutes=41&seconds=6&julian=2460973.278541667&martianyear=38&sol=337&latitude=0&longitude=0&altitude=175000&zkey=3&spacecraft=equator&isfixedlt=off&dust=1&hrkey=1&averaging=loct&dpi=80&islog=off&colorm=jet&minval=&maxval=&proj=cyl&palt=&plon=&plat=&trans=&iswind=off&latpoint=&lonpoint=
170,1.79E-11,1.79E-11,1.00E+00,http://www-mars.lmd.jussieu.fr/mcd_python/cgi-bin/mcdcgi.py?var1=rho&var2=none&var3=none&var4=none&datekeyhtml=1&ls=160.3&localtime=0.&year=2025&month=10&day=24&hours=18&minutes=41&seconds=6&julian=2460973.278541667&martianyear=38&sol=337&latitude=0&longitude=0&altitude=170000&zkey=3&spacecraft=equator&isfixedlt=off&dust=1&hrkey=1&averaging=loct&dpi=80&islog=off&colorm=jet&minval=&maxval=&proj=cyl&palt=&plon=&plat=&trans=&iswind=off&latpoint=&lonpoint=
165,3.16E-11,3.16E-11,1.00E+00,http://www-mars.lmd.jussieu.fr/mcd_python/cgi-bin/mcdcgi.py?var1=rho&var2=none&var3=none&var4=none&datekeyhtml=1&ls=160.3&localtime=0.&year=2025&month=10&day=24&hours=18&minutes=41&seconds=6&julian=2460973.278541667&martianyear=38&sol=337&latitude=0&longitude=0&altitude=165000&zkey=3&spacecraft=equator&isfixedlt=off&dust=1&hrkey=1&averaging=loct&dpi=80&islog=off&colorm=jet&minval=&maxval=&proj=cyl&palt=&plon=&plat=&trans=&iswind=off&latpoint=&lonpoint=
160,5.69E-11,5.69E-11,1.00E+00,http://www-mars.lmd.jussieu.fr/mcd_python/cgi-bin/mcdcgi.py?var1=rho&var2=none&var3=none&var4=none&datekeyhtml=1&ls=160.3&localtime=0.&year=2025&month=10&day=24&hours=18&minutes=41&seconds=6&julian=2460973.278541667&martianyear=38&sol=337&latitude=0&longitude=0&altitude=160000&zkey=3&spacecraft=equator&isfixedlt=off&dust=1&hrkey=1&averaging=loct&dpi=80&islog=off&colorm=jet&minval=&maxval=&proj=cyl&palt=&plon=&plat=&trans=&iswind=off&latpoint=&lonpoint=
155,1.05E-10,1.05E-10,1.00E+00,http://www-mars.lmd.jussieu.fr/mcd_python/cgi-bin/mcdcgi.py?var1=rho&var2=none&var3=none&var4=none&datekeyhtml=1&ls=160.3&localtime=0.&year=2025&month=10&day=24&hours=18&minutes=41&seconds=6&julian=2460973.278541667&martianyear=38&sol=337&latitude=0&longitude=0&altitude=155000&zkey=3&spacecraft=equator&isfixedlt=off&dust=1&hrkey=1&averaging=loct&dpi=80&islog=off&colorm=jet&minval=&maxval=&proj=cyl&palt=&plon=&plat=&trans=&iswind=off&latpoint=&lonpoint=
150,1.99E-10,1.99E-10,1.00E+00,http://www-mars.lmd.jussieu.fr/mcd_python/cgi-bin/mcdcgi.py?var1=rho&var2=none&var3=none&var4=none&datekeyhtml=1&ls=160.3&localtime=0.&year=2025&month=10&day=24&hours=18&minutes=41&seconds=6&julian=2460973.278541667&martianyear=38&sol=337&latitude=0&longitude=0&altitude=150000&zkey=3&spacecraft=equator&isfixedlt=off&dust=1&hrkey=1&averaging=loct&dpi=80&islog=off&colorm=jet&minval=&maxval=&proj=cyl&palt=&plon=&plat=&trans=&iswind=off&latpoint=&lonpoint=
145,3.91E-10,3.91E-10,1.00E+00,http://www-mars.lmd.jussieu.fr/mcd_python/cgi-bin/mcdcgi.py?var1=rho&var2=none&var3=none&var4=none&datekeyhtml=1&ls=160.3&localtime=0.&year=2025&month=10&day=24&hours=18&minutes=41&seconds=6&julian=2460973.278541667&martianyear=38&sol=337&latitude=0&longitude=0&altitude=145000&zkey=3&spacecraft=equator&isfixedlt=off&dust=1&hrkey=1&averaging=loct&dpi=80&islog=off&colorm=jet&minval=&maxval=&proj=cyl&palt=&plon=&plat=&trans=&iswind=off&latpoint=&lonpoint=
140,7.94E-10,7.94E-10,1.00E+00,http://www-mars.lmd.jussieu.fr/mcd_python/cgi-bin/mcdcgi.py?var1=rho&var2=none&var3=none&var4=none&datekeyhtml=1&ls=160.3&localtime=0.&year=2025&month=10&day=24&hours=18&minutes=41&seconds=6&julian=2460973.278541667&martianyear=38&sol=337&latitude=0&longitude=0&altitude=140000&zkey=3&spacecraft=equator&isfixedlt=off&dust=1&hrkey=1&averaging=loct&dpi=80&islog=off&colorm=jet&minval=&maxval=&proj=cyl&palt=&plon=&plat=&trans=&iswind=off&latpoint=&lonpoint=
135,1.68E-09,1.68E-09,1.00E+00,http://www-mars.lmd.jussieu.fr/mcd_python/cgi-bin/mcdcgi.py?var1=rho&var2=none&var3=none&var4=none&datekeyhtml=1&ls=160.3&localtime=0.&year=2025&month=10&day=24&hours=18&minutes=41&seconds=6&julian=2460973.278541667&martianyear=38&sol=337&latitude=0&longitude=0&altitude=135000&zkey=3&spacecraft=equator&isfixedlt=off&dust=1&hrkey=1&averaging=loct&dpi=80&islog=off&colorm=jet&minval=&maxval=&proj=cyl&palt=&plon=&plat=&trans=&iswind=off&latpoint=&lonpoint=
