# B = brightest mass bin, L = leading fragment, M = main
# Time (s), B ht (km), B len (km), B vel (km/s), L ht (km), L len (km), L vel (km/s), L dyn press (Gamma = 1.0; MPa), M ht (km), M len (km), M vel (km/s), M dyn press (Gamma = 1.0; MPa), Tau total (%), Tau main (%), Tau grain (%), Abs mag total, Abs mag main, Abs mag grain, log10 Lum total (W), log10 Lum main (W), log10 Lum grain (W), log10 Electron line density (-/m), Mass total (kg), Mass main (kg)
5.00000e-03,1.79737e+02,3.00455e-01,6.00910e+01,1.79737e+02,3.00455e-01,6.00910e+01,1.80115e-06,1.79737e+02,3.00455e-01,6.00910e+01,1.80115e-06,7.00000e-03,7.00000e-03,0.00000e+00,1.08429e+01,1.08429e+01,inf,-1.41290e+00,-1.41290e+00,-inf,1.18824e+01,9.86985e-07,9.86985e-07
1.00000e-02,1.79473e+02,6.00910e-01,6.00910e+01,1.79473e+02,6.00910e-01,6.00910e+01,1.80778e-06,1.79473e+02,6.00910e-01,6.00910e+01,1.80778e-06,7.00000e-03,7.00000e-03,0.00000e+00,1.08390e+01,1.08390e+01,inf,-1.41131e+00,-1.41131e+00,-inf,1.18840e+01,9.86970e-07,9.86970e-07
1.50000e-02,1.79210e+02,9.01365e-01,6.00910e+01,1.79210e+02,9.01365e-01,6.00910e+01,1.81515e-06,1.79210e+02,9.01365e-01,6.00910e+01,1.81515e-06,7.00000e-03,7.00000e-03,0.00000e+00,1.08346e+01,1.08346e+01,inf,-1.40954e+00,-1.40954e+00,-inf,1.18857e+01,9.86955e-07,9.86955e-07
2.00000e-02,1.78946e+02,1.20182e+00,6.00910e+01,1.78946e+02,1.20182e+00,6.00910e+01,1.82327e-06,1.78946e+02,1.20182e+00,6.00910e+01,1.82327e-06,7.00000e-03,7.00000e-03,0.00000e+00,1.08297e+01,1.08297e+01,inf,-1.40761e+00,-1.40761e+00,-inf,1.18877e+01,9.86940e-07,9.86940e-07
2.50000e-02,1.78683e+02,1.50227e+00,6.00909e+01,1.78683e+02,1.50227e+00,6.00909e+01,1.83210e-06,1.78683e+02,1.50227e+00,6.00909e+01,1.83210e-06,7.00000e-03,7.00000e-03,0.00000e+00,1.08245e+01,1.08245e+01,inf,-1.40552e+00,-1.40552e+00,-inf,1.18898e+01,9.86925e-07,9.86925e-07
3.00000e-02,1.78419e+02,1.80273e+00,6.00909e+01,1.78419e+02,1.80273e+00,6.00909e+01,1.84165e-06,1.78419e+02,1.80273e+00,6.00909e+01,1.84165e-06,7.00000e-03,7.00000e-03,0.00000e+00,1.08189e+01,1.08189e+01,inf,-1.40326e+00,-1.40326e+00,-inf,1.18920e+01,9.86909e-07,9.86909e-07
3.50000e-02,1.78156e+02,2.10318e+00,6.00909e+01,1.78156e+02,2.10318e+00,6.00909e+01,1.85188e-06,1.78156e+02,2.10318e+00,6.00909e+01,1.85188e-06,7.00000e-03,7.00000e-03,0.00000e+00,1.08129e+01,1.08129e+01,inf,-1.40086e+00,-1.40086e+00,-inf,1.18944e+01,9.86894e-07,9.86894e-07
4.00000e-02,1.77893e+02,2.40364e+00,6.00909e+01,1.77893e+02,2.40364e+00,6.00909e+01,1.86279e-06,1.77893e+02,2.40364e+00,6.00909e+01,1.86279e-06,7.00000e-03,7.00000e-03,0.00000e+00,1.08065e+01,1.08065e+01,inf,-1.39831e+00,-1.39831e+00,-inf,1.18970e+01,9.86879e-07,9.86879e-07
4.50000e-02,1.77629e+02,2.70409e+00,6.00909e+01,1.77629e+02,2.70409e+00,6.00909e+01,1.87438e-06,1.77629e+02,2.70409e+00,6.00909e+01,1.87438e-06,7.00000e-03,7.00000e-03,0.00000e+00,1.07998e+01,1.07998e+01,inf,-1.39563e+00,-1.39563e+00,-inf,1.18997e+01,9.86863e-07,9.86863e-07
5.00000e-02,1.77366e+02,3.00455e+00,6.00909e+01,1.77366e+02,3.00455e+00,6.00909e+01,1.88662e-06,1.77366e+02,3.00455e+00,6.00909e+01,1.88662e-06,7.00000e-03,7.00000e-03,0.00000e+00,1.07927e+01,1.07927e+01,inf,-1.39281e+00,-1.39281e+00,-inf,1.19025e+01,9.86848e-07,9.86848e-07
5.50000e-02,1.77102e+02,3.30500e+00,6.00909e+01,1.77102e+02,3.30500e+00,6.00909e+01,1.89950e-06,1.77102e+02,3.30500e+00,6.00909e+01,1.89950e-06,7.00000e-03,7.00000e-03,0.00000e+00,1.07853e+01,1.07853e+01,inf,-1.38985e+00,-1.38985e+00,-inf,1.19054e+01,9.86832e-07,9.86832e-07
6.00000e-02,1.76839e+02,3.60546e+00,6.00909e+01,1.76839e+02,3.60546e+00,6.00909e+01,1.91302e-06,1.76839e+02,3.60546e+00,6.00909e+01,1.91302e-06,7.00000e-03,7.00000e-03,0.00000e+00,1.07776e+01,1.07776e+01,inf,-1.38678e+00,-1.38678e+00,-inf,1.19085e+01,9.86816e-07,9.86816e-07
